フェーズ,タスクID,タスク名,担当,期限,優先度,完了条件,ステータス,備考
Phase A,MS-A1,税務署事前相談,ユーザー,Day 7,高,免許取得可否の確認・必要書類リスト入手,未着手,通信販売酒類小売業免許の取得可否確認
Phase A,MS-A2,仕入れ先リストアップ,AI,Day 14,高,5社以上の候補リスト作成,未着手,ワイナリー・インポーターのリストアップ
Phase A,MS-A3,仕入れ先交渉,ユーザー,Day 21,高,3社以上から取引可能回答,未着手,小ロット対応可能な仕入れ先確保
Phase A,MS-A4,ラベル印刷業者確定,AI+ユーザー,Day 21,高,単価500円以下での見積もり取得,未着手,カスタムラベル印刷業者の選定
Phase A,MS-A5,免許申請書類準備,ユーザー,Day 30,高,申請書類ドラフト完成,未着手,税務署への申請書類作成
Phase A,MS-A6,免許申請提出,ユーザー,Day 35,高,税務署への申請完了,未着手,申請書類提出
Phase A,MS-A7,商品サンプル制作,ユーザー,Day 45,高,撮影用サンプル完成,未着手,ワイン・ラベル・木箱のサンプル制作
Phase A,MS-A8,Makuakeプロジェクト準備,AI+ユーザー,Day 60,高,ページ骨子・リターン設計完了,未着手,プロジェクトページ・リターン設計
Phase B,MS-B1,Makuake審査通過,ユーザー,Day 70,高,プロジェクト公開承認,未着手,Makuake審査提出・承認
Phase B,MS-B2,事前告知開始,AI+ユーザー,Day 70,中,SNS・メールでの告知開始,未着手,Instagram・Twitter・LINE公式での告知
Phase B,MS-B3,Makuake開始,ユーザー,Day 90,高,プロジェクト公開,未着手,Makuakeプロジェクト公開
Phase B,MS-B4,初速達成,自動,Day 97,高,開始1週間で達成率30%以上,未着手,初動マーケティングの成果確認
Phase B,MS-B5,目標達成,自動,Day 120,高,達成率70%以上（42万円）,未着手,Makuake目標達成率70%以上
Phase B,MS-B6,Makuake終了,AI+ユーザー,Day 150,中,プロジェクト終了・結果分析,未着手,結果分析・Go/No-Go判定
Phase B,MS-B7,免許取得完了,ユーザー,Day 90-120,高,免許証受領,未着手,審査2ヶ月想定
Phase B,MS-B8,リターン履行,ユーザー,Day 180,高,支援者への商品発送完了,未着手,注文受付・制作・発送
Phase C,MS-C1,自社EC構築,AI+ユーザー,Day 180,高,Shopify本格稼働,未着手,ECサイト構築・決済設定
Phase C,MS-C2,月間販売10本達成,自動,Month 8,高,3ヶ月連続で月10本以上,未着手,継続的な月間10本販売
Phase C,MS-C3,月間販売20本達成,自動,Month 10,高,月20本 × 月商24万円,未着手,月間20本の販売達成
Phase C,MS-C4,CAC最適化,AI+ユーザー,Month 9,中,CAC 2,500円以下を達成,未着手,広告費最適化・チャネル見直し
Phase C,MS-C5,リピート施策開始,AI,Month 7,中,記念日リマインドシステム稼働,未着手,リマインドシステム構築・運用開始
Phase C,MS-C6,レビュー・UGC収集,自動,Month 10,中,顧客レビュー10件以上,未着手,レビュー依頼・UGC促進
Phase C,MS-C7,法人問い合わせ対応体制,AI,Month 9,低,法人向け提案書完成,未着手,提案書テンプレート作成
Phase C,MS-C8,年間100本達成,自動,Month 12,高,累計販売100本,未着手,初年度累計100本販売
Phase A,TASK-A1,SNSアカウント開設,ユーザー,Week 1,中,Instagram・Twitterアカウント作成,未着手,アカウント名・プロフィール設定
Phase A,TASK-A2,プロフィール・バナー作成,AI,Week 1,中,プロフィール設定完了,未着手,SNSプロフィール画像・バナー作成
Phase A,TASK-A3,投稿テンプレート作成,AI,Week 1,低,10パターンのテンプレート作成,未着手,コンテンツ投稿テンプレート
Phase A,TASK-A4,ハッシュタグリスト作成,AI,Week 1,低,50個のハッシュタグリスト作成,未着手,SNS投稿用ハッシュタグリスト
Phase A,TASK-A5,コンテンツカレンダー作成,AI,Week 1,低,月間投稿スケジュール作成,未着手,投稿スケジュール計画
Phase B,TASK-B1,初回投稿（課題の共感）,AI,Week 2,中,Twitter・Instagramに投稿,未着手,「想いを未来に届けたい」訴求
Phase B,TASK-B2,製品紹介コンテンツ作成,AI,Week 2,高,写真・動画・テキスト作成,未着手,商品紹介コンテンツ制作
Phase B,TASK-B3,使用シーン動画作成,ユーザー+AI,Week 2,高,15-30秒の動画3本作成,未着手,Reels・ショート動画制作
Phase B,TASK-B4,ハッシュタグキャンペーン企画,AI,Week 2,中,キャンペーン企画書作成,未着手,UGC促進キャンペーン
Phase B,TASK-B5,広告クリエイティブ作成,AI,Week 3,高,5パターンのクリエイティブ作成,未着手,Instagram・Facebook広告素材
Phase B,TASK-B6,ランディングページ作成,AI,Week 3,高,LP作成完了,未着手,Makuakeプロジェクトページ
Phase B,TASK-B7,広告アカウント設定,ユーザー,Week 3,高,Google Ads・Meta Ads設定完了,未着手,広告配信準備
Phase B,TASK-B8,広告テスト開始,ユーザー+AI,Week 4,高,広告配信開始,未着手,テスト広告の配信開始
Phase B,TASK-B9,データ分析・レポート作成,AI,Week 4,中,Week 1-3のデータ分析完了,未着手,広告効果・CAC分析
Phase B,TASK-B10,Go/No-Go判定,ユーザー,Week 4,高,判定完了,未着手,Makuake結果に基づく判定
Phase C,TASK-C1,個人ネットワークリスト作成,ユーザー,Week 1,高,50名以上のリスト作成,未着手,初期顧客獲得用リスト
Phase C,TASK-C2,紹介メール・DM作成,AI,Week 1,高,テンプレート作成完了,未着手,紹介用メール・DMテンプレート
Phase C,TASK-C3,FAQシステム構築,AI,Week 1,中,20個以上のFAQ作成,未着手,よくある質問の登録
Phase C,TASK-C4,カスタマーサポート体制構築,AI,Week 1,中,チャットボット設定完了,未着手,Tidio等のチャットボット設定
Phase C,TASK-C5,決済システム設定,ユーザー,Week 1,高,Makuake・自社EC設定完了,未着手,決済システム連携
Phase C,TASK-C6,個人ネットワークへの紹介,ユーザー,Week 2,高,20名以上に紹介完了,未着手,初期顧客獲得
Phase C,TASK-C7,SNSでの告知開始,AI,Week 2,継続,Twitter・Instagramで告知,未着手,継続的なSNS告知
Phase C,TASK-C8,インフルエンサーリスト作成,AI,Week 2,中,20名以上のリスト作成,未着手,猫アカウント・リモートワーカーアカウント
Phase C,TASK-C9,インフルエンサーへのDM送信,ユーザー,Week 2,中,10名以上にDM送信,未着手,コラボ提案
Phase C,TASK-C10,コミュニティ参加・紹介,ユーザー+AI,Week 2,低,3つ以上のコミュニティに参加,未着手,リモートワーク・ペット関連コミュニティ
Phase C,TASK-C11,初期顧客からのフィードバック収集,AI,Week 3,中,10名以上からフィードバック取得,未着手,顧客インタビュー・アンケート
Phase C,TASK-C12,FAQの追加・改善,AI,Week 3,低,FAQを30個以上に拡充,未着手,よくある質問の追加
Phase C,TASK-C13,カスタマーサポートの改善,AI,Week 3,低,対応精度向上,未着手,チャットボット精度向上
Phase C,TASK-C14,レビュー依頼,AI,Week 3,中,初期顧客にレビュー依頼メール送信,未着手,購入後のレビュー依頼
Phase C,TASK-C15,データ分析・レポート作成,AI,Week 3,中,Week 1-3のデータ分析完了,未着手,売上・CAC・CVR分析
